Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,W1,W1_0,G1,Low1,W2,G2,Low2,W3,G3,Low3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
5,1,4,3,8,11,7.333333333,4.888888889,1.888888889,-3.111111111,-6.111111111,1,NA,0,1,0,0,0,0,1,0,8,0,1,15,12,3,
5,2,5,22,8,65,31.66666667,21.11111111,-0.888888889,13.11111111,-43.88888889,1,1,1,0,0,1,1,0,0,0,7,1,0,,,,
5,2,6,15,35,11,20.33333333,13.55555556,-1.444444444,-21.44444444,2.555555556,1,0,0,0,0,0,0,0,1,1,7,0,1,,,,
5,2,7,7,15,18,13.33333333,8.888888889,1.888888889,-6.111111111,-9.111111111,1,0,2,1,0,2,0,0,1,0,8,2,1,,,,
5,2,8,3,5,10,6,4,1,-1,-6,1,1,1,1,1,1,0,0,1,0,5,4,1,27,7,3,
6,1,1,13,29,34,25.33333333,16.88888889,3.888888889,-12.11111111,-17.11111111,1,NA,1,1,0,1,0,0,0,0,6,1,0,,,,
6,1,2,17,33,28,26,17.33333333,0.333333333,-15.66666667,-10.66666667,1,NA,0,1,0,0,0,0,0,0,7,0,0,,,,
6,1,3,13,97,17,42.33333333,28.22222222,15.22222222,-68.77777778,11.22222222,0,NA,0,1,0,0,0,1,1,0,1,0,6,,,,
6,1,4,5,24,23,17.33333333,11.55555556,6.555555556,-12.44444444,-11.44444444,1,NA,0,1,0,0,0,1,0,1,3,0,3,17,1,9,
6,2,5,13,12,38,21,14,1,2,-24,1,1,0,0,0,0,1,0,1,0,6,0,1,,,,
6,2,6,17,25,15,19,12.66666667,-4.333333333,-12.33333333,-2.333333333,0,1,1,0,0,1,0,1,1,1,1,1,6,,,,
6,2,7,13,7,22,14,9.333333333,-3.666666667,2.333333333,-12.66666667,0,0,2,0,1,2,1,0,0,0,1,8,0,,,,
6,2,8,5,4,12,7,4.666666667,-0.333333333,0.666666667,-7.333333333,1,1,1,0,0,1,1,0,1,0,8,1,1,16,10,8,
7,1,1,28,55,37,40,26.66666667,-1.333333333,-28.33333333,-10.33333333,1,NA,0,1,0,0,0,0,0,0,7,0,0,,,,
7,1,2,22,13,63,32.66666667,21.77777778,-0.222222222,8.777777778,-41.22222222,1,NA,1,0,0,1,1,0,0,0,6,1,0,,,,
7,1,3,21,7,11,13,8.666666667,-12.33333333,1.666666667,-2.333333333,0,NA,1,0,0,1,1,1,1,0,0,1,7,,,,
7,1,4,20,68,24,37.33333333,24.88888889,4.888888889,-43.11111111,0.888888889,0,NA,0,1,0,0,0,1,0,0,1,0,6,14,2,13,
7,2,5,28,58,20,35.33333333,23.55555556,-4.444444444,-34.44444444,3.555555556,0,1,0,0,0,0,0,1,1,1,0,0,7,,,,
7,2,6,22,32,35,29.66666667,19.77777778,-2.222222222,-12.22222222,-15.22222222,1,1,2,1,0,2,0,0,1,0,7,2,1,,,,
7,2,7,21,14,18,17.66666667,11.77777778,-9.222222222,-2.222222222,-6.222222222,0,0,2,0,1,2,1,0,1,0,0,8,1,,,,
7,2,8,20,10,35,21.66666667,14.44444444,-5.555555556,4.444444444,-20.55555556,0,0,0,0,1,0,1,0,0,0,1,6,0,8,16,9,
8,1,1,40,25,25,30,20,-20,-5,-5,0,NA,0,0,1,1,1,1,0,1,0,3,3,,,,
8,1,2,20,40,30,30,20,0,-20,-10,1,NA,0,1,0,0,0,1,1,1,4,0,4,,,,
8,1,3,20,33,35,29.33333333,19.55555556,-0.444444444,-13.44444444,-15.44444444,1,NA,2,1,0,2,0,0,0,0,7,2,0,,,,
8,1,4,28,27,30,28.33333333,18.88888889,-9.111111111,-8.111111111,-11.11111111,1,NA,2,1,0,2,0,0,1,0,7,2,1,18,7,8,
8,2,5,40,26,16,27.33333333,18.22222222,-21.77777778,-7.777777778,2.222222222,0,0,0,0,0,0,0,1,1,1,1,0,7,,,,
8,2,6,20,35,24,26.33333333,17.55555556,-2.444444444,-17.44444444,-6.444444444,1,1,1,1,0,1,0,0,2,0,7,1,2,,,,
8,2,7,20,45,78,47.66666667,31.77777778,11.77777778,-13.22222222,-46.22222222,1,1,1,1,0,1,0,0,1,0,6,1,1,,,,
8,2,8,28,14,51,31,20.66666667,-7.333333333,6.666666667,-30.33333333,0,0,0,0,1,0,1,0,1,0,0,6,1,14,8,11,
9,1,1,55,95,6,52,34.66666667,-20.33333333,-60.33333333,28.66666667,1,NA,1,0,0,1,0,0,0,1,6,1,0,,,,
9,1,2,35,23,28,28.66666667,19.11111111,-15.88888889,-3.888888889,-8.888888889,0,NA,1,0,1,1,1,0,0,0,0,7,0,,,,
9,1,3,20,40,32,30.66666667,20.44444444,0.444444444,-19.55555556,-11.55555556,1,NA,1,1,0,1,0,0,1,0,7,1,1,,,,
9,1,4,12,35,34,27,18,6,-17,-16,1,NA,1,1,0,1,0,0,2,0,6,1,2,19,10,3,
9,2,5,55,60,18,44.33333333,29.55555556,-25.44444444,-30.44444444,11.55555556,0,1,1,0,0,1,0,1,0,1,1,1,6,,,,
9,2,6,35,24,20,26.33333333,17.55555556,-17.44444444,-6.444444444,-2.444444444,0,0,2,0,0,2,0,1,2,1,0,2,8,,,,
9,2,7,20,22,19,20.33333333,13.55555556,-6.444444444,-8.444444444,-5.444444444,0,1,1,0,0,1,0,1,2,1,2,1,8,,,,
9,2,8,12,17,16,15,10,-2,-7,-6,1,1,2,1,0,2,0,0,1,0,8,2,1,11,6,23,
10,1,1,35,15,55,35,23.33333333,-11.66666667,8.333333333,-31.66666667,0,NA,0,0,0,0,1,1,0,0,1,0,6,,,,
10,1,2,20,45,47,37.33333333,24.88888889,4.888888889,-20.11111111,-22.11111111,1,NA,0,1,0,0,0,0,0,0,7,0,0,,,,
10,1,3,25,35,35,31.66666667,21.11111111,-3.888888889,-13.88888889,-13.88888889,0,NA,1,0,1,1,1,1,2,1,0,4,5,,,,
10,1,4,20,45,40,35,23.33333333,3.333333333,-21.66666667,-16.66666667,1,NA,1,1,0,1,0,0,1,0,7,1,1,15,5,12,
10,2,5,35,15,32,27.33333333,18.22222222,-16.77777778,3.222222222,-13.77777778,0,0,1,0,1,1,1,0,0,0,1,7,0,,,,
10,2,6,20,23,28,23.66666667,15.77777778,-4.222222222,-7.222222222,-12.22222222,1,1,1,1,0,1,0,0,1,0,7,1,1,,,,
10,2,7,25,18,43,28.66666667,19.11111111,-5.888888889,1.111111111,-23.88888889,0,1,2,0,1,2,1,0,0,0,1,8,0,,,,
10,2,8,20,21,15,18.66666667,12.44444444,-7.555555556,-8.555555556,-2.555555556,0,1,1,0,0,1,0,1,1,1,1,1,7,10,17,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
